day,holiday,calendar_week,class,start,end,abbreviation
Sunday,Vierter Advent,51,5,2018-12-23,2018-12-23,AD4
Monday,Heiliger Abend,52,5,2018-12-24,2018-12-24,HAB
Tuesday,Weihnachten,52,1,2018-12-25,2018-12-25,WHN
Wednesday,Zweiter Weihnachtsfeiertag,52,1,2018-12-26,2018-12-26,WF2
Monday,Silvester,1,5,2018-12-31,2018-12-31,SLV
Sunday,Neujahr,52,1,2017-01-01,2017-01-01,NEJ
Friday,Heilige drei Könige,1,1,2017-01-06,2017-01-06,HdK
Tuesday,Valentinstag,7,5,2017-02-14,2017-02-14,VLT
Wednesday,Aschermittwoch,9,5,2017-03-01,2017-03-01,ASM
Sunday,Palmsonntag,14,5,2017-04-09,2017-04-09,PLM
Friday,Karfreitag,15,1,2017-04-14,2017-04-14,KRF
Sunday,Ostern,15,4,2017-04-16,2017-04-16,OST
Monday,Ostermontag,16,1,2017-04-17,2017-04-17,OSM
Monday,Tag der Arbeit,18,1,2017-05-01,2017-05-01,TdA
Tuesday,Europatag,19,5,2017-05-09,2017-05-09,EUT
Sunday,Muttertag,19,5,2017-05-14,2017-05-14,MUT
Thursday,Christi Himmelfahrt,21,1,2017-05-25,2017-05-25,CRH
Sunday,Pfingsten,22,4,2017-06-04,2017-06-04,PFG
Monday,Pfingstmontag,23,1,2017-06-05,2017-06-05,PFM
Thursday,Fronleichnam,24,1,2017-06-15,2017-06-15,FRL
Tuesday,Tag der Deutschen Einheit,40,1,2017-10-03,2017-10-03,TDE
Tuesday,Reformationstag,44,1,2017-10-31,2017-10-31,RFM
Wednesday,Allerheiligen,44,1,2017-11-01,2017-11-01,ALH
Sunday,Volkstrauertag,46,4,2017-11-19,2017-11-19,VLT
Sunday,Ewigkeitssonntag,47,5,2017-11-26,2017-11-26,EWS
Sunday,Erster Advent,48,5,2017-12-03,2017-12-03,ESA
Wednesday,St. Nikolaus,49,5,2017-12-06,2017-12-06,STN
Sunday,Zweiter Advent,49,5,2017-12-10,2017-12-10,AD2
Sunday,Dritter Advent,50,5,2017-12-17,2017-12-17,AD3
Sunday,Heiliger Abend,51,5,2017-12-24,2017-12-24,HAB
Sunday,Vierter Advent,51,5,2017-12-24,2017-12-24,AD4
Monday,Weihnachten,52,1,2017-12-25,2017-12-25,WHN
Tuesday,Zweiter Weihnachtsfeiertag,52,1,2017-12-26,2017-12-26,WF2
Sunday,Silvester,52,5,2017-12-31,2017-12-31,SLV
Friday,Neujahr,53,1,2016-01-01,2016-01-01,NEJ
Wednesday,Heilige drei Könige,1,1,2016-01-06,2016-01-06,HdK
Wednesday,Aschermittwoch,6,5,2016-02-10,2016-02-10,ASM
Sunday,Valentinstag,6,5,2016-02-14,2016-02-14,VLT
Sunday,Palmsonntag,11,5,2016-03-20,2016-03-20,PLM
Friday,Karfreitag,12,1,2016-03-25,2016-03-25,KRF
Sunday,Ostern,12,4,2016-03-27,2016-03-27,OST
Monday,Ostermontag,13,1,2016-03-28,2016-03-28,OSM
Sunday,Tag der Arbeit,17,1,2016-05-01,2016-05-01,TdA
Thursday,Christi Himmelfahrt,18,1,2016-05-05,2016-05-05,CRH
Sunday,Muttertag,18,5,2016-05-08,2016-05-08,MUT
Monday,Europatag,19,5,2016-05-09,2016-05-09,EUT
